Sweden_Motala_HG MotalaAA
Poland_Koszyce_GAC.SG RISE1159.SG
Poland_Koszyce_GAC.SG_son.RISE1159.SG.son.RISE1168.SG RISE1160.SG
Poland_Koszyce_GAC.SG RISE1161.SG
Poland_Koszyce_GAC.SG_daughter.RISE1170.SG.sister.RISE1164.SG RISE1162.SG
Poland_Koszyce_GAC.SG RISE1163.SG
Poland_Koszyce_GAC.SG_son.RISE1170.SG.brother.RISE1164.SG RISE1164.SG
Poland_Koszyce_GAC.SG RISE1165.SG
Poland_Koszyce_GAC.SG RISE1166.SG
Poland_Koszyce_GAC.SG_daughter.RISE1166.SG.sister.RISE1171.SG RISE1167.SG
Poland_Koszyce_GAC.SG_brother.RISE1169.SG.brother.RISE1173.SG.brother.RISE1163.SG RISE1168.SG
Poland_Koszyce_GAC.SG_brother.RISE1168.SG.brother.RISE1173.SG.brother.RISE1163.SG RISE1169.SG
Poland_Koszyce_GAC.SG RISE1170.SG
Poland_Koszyce_GAC.SG_son.RISE1166.SG.brother.RISE1167.SG RISE1171.SG
Poland_Koszyce_GAC.SG_mother.RISE1163.SG.mother.RISE1173.SG RISE1172.SG
Poland_Koszyce_GAC.SG_brother.RISE1169.SG.brother.RISE1168.SG.brother.RISE1163.SG RISE1173.SG
Poland_Sandomierz_GAC.SG RISE1241.SG
Poland_Ksiaznice_GAC.SG RISE1246.SG
Poland_Ksiaznice_GAC.SG RISE1249.SG
England_MBA_sister.I1780 I7579
England_MBA I7580
Czech_BellBeaker_brother.I7278 I7271
Czech_BellBeaker I7278
Hungary_EBA_Protonagyrev_brother.I7043 I7041
Hungary_EBA_Protonagyrev I7043
Czech_BellBeaker I7282
Czech_BellBeaker_mother.I7282 I7283
Czech_BellBeaker_sibling.I7214 I7289
Czech_BellBeaker_father.or.son.I7212 I7210
Czech_BellBeaker I7212
Czech_BellBeaker I7214
Hungary_EBA_Protonagyrev I7040
Hungary_MN I7042
Hungary_EBA_BellBeaker I7044
Hungary_EBA_BellBeaker I7045
Czech_EBA I7195
Czech_EBA I7196
Czech_MN I7197
Czech_EBA I7198
Czech_EBA I7199
Czech_EBA I7200
Czech_EBA I7201
Czech_EBA I7202
Czech_EBA I7203
Czech_BellBeaker I7205
Czech_BellBeaker I7211
Czech_BellBeaker I7213
Czech_BellBeaker I7249
Czech_BellBeaker I7251
Czech_BellBeaker I7250
Czech_BellBeaker I7269
Czech_Eneolithic I7272
Czech_BellBeaker I7270
Czech_BellBeaker I7275
Czech_BellBeaker I7276
Czech_CordedWare I7279
Czech_CordedWare I7280
Czech_BellBeaker I7281
Czech_BellBeaker I7286
Czech_BellBeaker I7287
Czech_BellBeaker I7288
Czech_BellBeaker I7290
Scotland_N I7554
England_MBA I7568
England_MBA I7569
England_MBA I7570
England_MBA I7571
England_MBA I7572
England_MBA I7573
England_MBA I7574
England_MBA I7575
England_MBA I7576
England_MBA I7577
England_MBA I7578
England_MBA I7626
England_MBA I7627
England_MBA I7628
England_C_EBA I7635
England_C_EBA I7638
England_C_EBA I7639
England_MBA I7640
Estonia_CordedWare.SG MA826.RISE00.SG
Iberia_LN_C.SG CabecoArruda122A.SG
Iberia_LN_C.SG CovaMoura364.SG
Iberia_LN_C.SG CovaMoura9B.SG
Anatolia_TepecikCiftlik_N.SG Tep002.SG
Anatolia_TepecikCiftlik_N.SG Tep003.SG
Anatolia_TepecikCiftlik_N.SG Tep004.SG
Anatolia_TepecikCiftlik_N.SG Tep006.SG
Luxembourg_Loschbour.DG Loschbour_snpAD.DG
Luxembourg_Loschbour_published.DG Loschbour_published.DG
Germany_EN_LBK_Stuttgart_published.DG Stuttgart_published.DG
Anatolia_N.SG Bar31.SG
Anatolia_N.SG Bar8.SG
Iran_TepeAbdulHosein_N.SG AH1.SG
Iran_TepeAbdulHosein_N.SG AH2.SG
Iran_TepeAbdulHosein_N.SG AH4.SG
Iran_IA_Hasanlu.SG F38.SG
Iran_Wezmeh_N.SG WC1.SG
France_BerryAuBac_published BerryAuBac_published
England_LIA_ERoman.SG I0156.SG
England_Saxon.SG I0157.SG
England_Saxon.SG I0159.SG
England_LIA.SG I0160.SG
England_Saxon.SG I0161.SG
England_Saxon.SG I0769.SG
England_Saxon.SG I0773.SG
England_Saxon.SG I0774.SG
England_Saxon.SG I0777.SG
England_IA.SG I0789.SG
Iran_C_SehGabi I1661
Scotland_N I2634
Scotland_N I2636
Germany_Falkenstein Falkenstein
France_BerryAuBac BerryAuBac
Greece_Minoan_Lassithi I0070
Greece_Minoan_Lassithi I0071
Greece_Minoan_Lassithi I0073
Greece_Minoan_Lassithi I0074
Greece_BA_Mycenaean I9010
Greece_Minoan_Lassithi I9005
Greece_BA_Mycenaean I9006
Greece_BA_Mycenaean_Pylos I9033
Greece_BA_Mycenaean I9041
Greece_Crete_Armenoi I9123
Greece_Minoan_Odigitria I9127
Greece_Minoan_Odigitria I9129
Greece_Minoan_Odigitria I9130
Greece_Minoan_Odigitria I9131
Bulgaria_Varna_C ANI152
Bulgaria_C ANI153
Bulgaria_Varna_C ANI160
Bulgaria_Varna_C_contam ANI163
Bulgaria_EBA_Ezero Bul10
Bulgaria_EBA_Yamnaya_o Bul4
Bulgaria_BeliBreyag_EBA Bul6
Bulgaria_Varna_C ANI159-ANI181
Luxembourg_Loschbour I0001
Iberia_EN I2199
Poland_Globular_Amphora_published I2405_published
England_BellBeaker I2416
England_BellBeaker I2418
England_C_EBA I2421
Bulgaria_C I2427
Bulgaria_C I2431
Poland_Globular_Amphora I2433
Poland_Globular_Amphora I2434
Poland_Globular_Amphora I2440
Poland_Globular_Amphora I2441
England_C_EBA I2457
England_BellBeaker I2459
England_C_EBA I2460
England_C_EBA I2463
Iberia_C I2467
Italy_North_BellBeaker I2478
Iberia_BellBeaker I0840
Iberia_C I1282
Iberia_C_father.or.son.I1314 I1302
Iberia_C I1276
Iberia_C I1284
Iberia_C_brother.I1277 I1274
Iberia_C I1280
Iberia_C I1314
Iberia_C I1277
Iberia_C I1272
Iberia_C I1281
Iberia_C I1300
Iberia_HG I0585
Germany_MN_Baalberge I0807
Germany_MN_Baalberge I0559
Germany_MN_Baalberge I0560
Bulgaria_C I0785
Bulgaria_C I0781
Germany_BellBeaker I1546
Germany_BellBeaker I0806
Germany_BellBeaker I0113
Germany_BellBeaker I0112
Germany_BellBeaker_1d.rel.I0111 I1530
Germany_BellBeaker I0111
Germany_BellBeaker I0108
Iberia_BellBeaker_o I0462
Iberia_BellBeaker I0460
Iberia_BellBeaker I0459
Iberia_BellBeaker I0456
Iberia_BellBeaker I0453
Iberia_BellBeaker I0455
Iberia_BellBeaker I0263
Iberia_BellBeaker I1553
Iberia_BellBeaker I0825
Iberia_BellBeaker I0260
Iberia_BellBeaker I0261
Iberia_BellBeaker I0823
Iberia_BellBeaker I0258
Iberia_BellBeaker I0262
Iberia_BellBeaker I0257
Iberia_BellBeaker I0826
Iberia_BellBeaker_father.or.son.I0460 I0458
Germany_LN_BenzigerodeHeimburg I0171
Germany_LN_BenzigerodeHeimburg I0059
Germany_CordedWare I1542
Germany_CordedWare I1536
Germany_CordedWare I1544
Germany_CordedWare I1538
Germany_CordedWare I1539
Germany_CordedWare I1534
Germany_CordedWare I0106
Germany_CordedWare_o I1540
Germany_CordedWare_father.or.son.I1538_father.or.son.I1540 I1541
Germany_CordedWare I1532
Germany_CordedWare I0049
Germany_LN_Karsdorf I0550
Germany_EN_LBK I0797
Germany_EN_LBK I0795
Hungary_MN_LBK I0176
Germany_MN_Salzmuende I0802
Germany_MN_Salzmuende I0800
Germany_MN_Salzmuende I0551
Iberia_EN I0409
Iberia_EN_father.or.son.I0410 I0411
Iberia_MN I0405
Hungary_EN_Starcevo I0174
Germany_EBA_Unetice I0115
Germany_EBA_Unetice I0117
Germany_EBA_Unetice I0804
Germany_EBA_Unetice I0803
Germany_EBA_Unetice I0164
Germany_EBA_Unetice_brother.I0117 I0114
Germany_EN_LBK I0022
Germany_EN_LBK I0026
Sweden_HG_Motala I0013
Sweden_HG_Motala I0011
Sweden_HG_Motala I0015
Sweden_HG_Motala I0012
Sweden_HG_Motala I0014
Sweden_HG_Motala I0017
Hungary_LN_Tisza_published I0447_published
Hungary_LN_Tisza I0449
France_BellBeaker_lowSteppe I1388
France_BellBeaker I1382
France_BellBeaker I1381
France_BellBeaker_published I1391_published
France_BellBeaker_1d.rel.I1390_published I1389_published
France_BellBeaker I1390
Israel_C I0644
Israel_C_1d.rel.I1179_published I1180_published
Israel_C_published I1177_published
Israel_C_published I1155_published
Israel_C_published I1181_published
Israel_C I1172
Israel_C I1187
Israel_C I1171
Israel_C I1164
Israel_C I1184
Israel_C I1179
Israel_C I1182
Israel_C I1170
Israel_C I1168
Israel_C I1152
Israel_C I1178
Hungary_EN_Koros I1508
Hungary_MN_ALPc I1500
Anatolia_N I1100
Anatolia_N I1102
Anatolia_N I1099
Anatolia_N I1103
Anatolia_N I1101
Anatolia_N I1097
Anatolia_N I0744
Anatolia_N I1096
Anatolia_N I1098
Anatolia_N I0708
Anatolia_N I0745
Anatolia_N I0746
Anatolia_N I0707
Anatolia_N I0709
Anatolia_N I0725
Anatolia_N I0736
Armenia_C I1634
Armenia_C I1632
Armenia_C I1631
Armenia_EBA I1635
Armenia_EBA I1633
Armenia_EBA I1658
Armenia_MBA I1656
Serbia_EN I0633
Serbia_EN I0634
Serbia_EN I1131
Hungary_MN_ALPc_Bukk I1499
Armenia_C I1409
Armenia_C I1407
Hungary_EBA_Mako I1502
Iran_GanjDareh_N I1290
Hungary_LateC_Baden I1497
Hungary_LN_Lengyel I1495
Hungary_MN_ALPc I1498
Jordan_EBA I1705
Jordan_EBA I1706
Jordan_PPNC_published I1679_published
Hungary_EN_HG_Koros I1507
Hungary_LBA_Kyjatice I1504
Hungary_MN_ALPc I1506
Hungary_MN_LBK I1496
Macedonia_N I0676
Hungary_MN_ALPc I1505
Ukraine_N I1736
Ukraine_N I1734
Ukraine_N I1738
Ukraine_N I1732
Jordan_PPNB I1710
Jordan_PPNB I1707
Jordan_PPNB I1704
Jordan_EBA I1730
Jordan_PPNC I1699
Iran_C_SehGabi I1670
Iran_C_SehGabi I1662
Iran_C_SehGabi I1674
Iran_C_SehGabi I1665
Iran_LN_SehGabi I1671
Hungary_Mako_EBA_published.SG BR1.SG
Hungary_LBA.SG BR2.SG
Hungary_Baden_LCA.SG CO1.SG
Hungary_Prescythian_IA.SG IR1.SG
Hungary_EN_HG_Koros_published.SG KO1_published.SG
Hungary_Koros_EN.SG KO2.SG
Hungary_LBK_MN.SG NE1.SG
Hungary_ALPc_MN_published.SG NE2.SG
Hungary_ALPc_Bukk_MN.SG NE3.SG
Hungary_ALPc_MN.SG NE4.SG
